consistent	adj. 一致的
impermeable	adj. 不能渗透的
condenses	v. 浓缩,  压缩
looseness	n. 松开, 解除
governmental	adj. 政府的
romanize	v. 古罗马化, 用罗马字书写
teacup	n. 茶杯
allay	v. 减轻, 减少
characterization	n. 描述, 人物之创造
earthen	adj. 土制的, 陶制的
insistence	n. 坚持, 坚决主张
whence	adv. 从何处；从那里
nonporous	adj. 无细孔的
deed	n. 行为，事迹；契约
southernmost	adj. 最南的
landless	adj. 无土地的，无陆地的
enhancement	n. 增进, 增加
indeterminate	adj. 不确定的, 含混的
unbalance	v. 使失衡,使精神紊乱n失衡
conclusively	adv. 最后地, 确定地
fortuitous	adj. 偶然的, 幸运的
hieroglyph	n. 象形文字, 图画文字
admirable	adj. 令人钦佩的,令人赞赏的
democratization	n. 民主化
peacefully	adv. 平静地,  和平地
upheaval	n. 剧变
inflection	n. 变形
radiometric	adj. 辐射测量的,  辐射度的
balkan	n&a. 巴尔干半岛(的)
thwart	v. 阻挠
hieratic	adj. 僧侣的, 僧侣用的
fibrous	adj. 含纤维的, 纤维性的
pedagogic	adj. 教师的, 教育学的, 教授法的
floe	n. 大浮冰, 浮殡冰块
bony	adj. 多骨的, 瘦骨嶙峋的
synonym	n. 同义字
listener	n. 收听者, 听众
conductivity	n. 传导性, 传导率
miocene	adj. 中新世的, 中新统的
eletricity	n. 电, 电学
depiction	n. 描写, 叙述
groom	v. 刷洗 n新郎；马夫
unfair	adj. 不公平的
prickly	adj. 多刺的
recurrent	adj. 再发生的, 周期性的
monoid	n. 独异点
affront	v. 侮辱，冒犯
harper	n. 弹竖琴者, 竖琴师
discernible	adj. 可辨别的
Maine	n. 缅因州(美国东北角的州)
fad	n. 时尚, 一时流行的狂热
catchment	n. 排水,集水
tambourine	n. 小手鼓
fluidity	n. 流动性,变移性
unhindered	adj. 无阻的, 不受阻碍的
almanac	n. 历书, 年鉴
breathtaking	adj. 令人赞叹的,  壮观的
coniferous	adj. 松类的,  结球果的
loyalist	n. 忠诚的人, 反对独立者
incoming	adj. 引入的
unpredictably	adv. 不可预见地,  不能预料地
scraping	v&n. 刮，擦
reorganize	v. 改组, 整顿
Turkic	n. 土耳其语(的), 土耳其语系者(的)
immature	adj. 不成熟的, 未完全发展的
momentarily	adv. 暂时地, 立刻地
overconfident	adj. 自负的, 过于自信的
expansionist	n&a. 扩张主义(的)
boss	n. 老板, 上司 vt指挥
crowbar	n. 撬棍, 铁橇
interdependence	n. 互相依赖
inappropriate	adj. 不适当的, 不合宜的
residue	n. 残渣, 剩余物
enterprising	adj. 有事业心的, 有进取心的
moisten	v. 弄湿 vi变潮湿
medicinal	adj. 药物的，治疗的
tribespeople	[复]n. 部落(或宗族等)成员
unattractive	adj. 无魅力的, 无吸引力的
crucible	n. 坩锅, 严酷的考验
misty	adj. 有薄雾的
unbreakable	adj. 不易破碎的, 牢不可破的
intermittently	adv. 间歇地
flotation	n. 浮选
healthful	adj. 有益健康的
hydration	n. 水合作用
leafcutter	n. [昆]南美切叶蚁
zagros	n. 扎格罗斯山脉[伊朗西南部]
Arabian	n. 阿拉伯人 a阿拉伯(人)的
willingness	n. 乐意, 愿意
marketplace	n. 集会场所, 市场
unconsciously	adv. 无意识地；不觉察地
forebear	n. 祖先, 祖宗
topography	n. 地形学
clergyman	n. 牧师, 教士
perm	v. /n电烫（头发）
Haiti	n. 海地
disintegrate	v. 分裂成小片，瓦解
moody	adj. 易怒的, 情绪化的
kink	n. 结 v纠结,纽绞
hydroelectric	adj. 水力电气的
favorably	adv. 赞同地, 亲切地
preferably	adv. 更好地,宁愿
driveway	n. 车道
hermit	n. 隐士, 隐居者
pathway	n. 路, 径
November	n. 十一月(略作Nov)
lvory	n. 象牙
deluge	n. 洪水, 豪雨
minutely	adj. 每分钟的,持续的
landlocked	adj. 陆地包围的, 内陆水域的
monolithic	n. 单片电路, 单块集成电路
cohesiveness	n. 粘合, 凝聚性
peculiarly	adv. 古怪地,  特有地
oceanographic	adj. 海洋学的
turnip	n. [植]芜箐(甘蓝)
congestion	n. 拥塞, 充血
engender	v. 造成
workplace	n. 工作场所
meticulous	adj. 一丝不苟的, 缜密的
impermanence	n. 暂时, 无常
impenetrable	adj. 不能穿过的, 不可理喻的
expendable	n. 消耗品, 可牺牲的
undeniable	adj. 不可否认的, 无可辩驳的
backbreaking	adj. 非常辛苦的,极累人的
commercialize	v. 使商业化
landsman	n. 同胞,同乡
albedo	n. [天文](星体)反照率
verbalizable	adj. 可用言辞表达的
gist	n. 要点, 要旨
doll	n. 洋娃娃, 玩偶
forefront	n. 最前部, 最前线
classicism	n. 古典主义,古典风格
foresight	n. 远见, 深谋远虑
infertile	adj. 贫瘠的, 不能生育的
horticultural	adj. 园艺的
hospitalize	v. 就医,  使住院
scanty	adj. 缺乏的,不足的
verbally	adv. 用言辞地, 口头地
juicy	adj. 多汁(液)的
physiologically	adv. 生理上, 在生理学上
chipmunk	n. [动] 花栗鼠
jay	n. 松鸡；鸟
circumstantially	adv. 因情形地,  附随地
repute	n. 名誉, 名声 v认为
grizzly	adj. 灰(白)色的
Americanism	adj. 美国所创, 美国风俗, 美国精神
implicate	v. 含意, 暗示
shortwave	n. 短波
processor	n. 加工业者；处理机
fleshy	adj. 肉的, 多肉的
fallout	n. 辐射微尘, 原子尘, 附带结果
pluralism	n. 复数, 兼职
alumnus	n. 男毕业生, 男校友
tenet	n. 原则
logger	n. 樵夫, 圆木装车机
geochemical	adj. 地球化学的
cloudlike	adj. 云雾状的
aide	n. 助手, 副官
vegetative	adj. 植物生长的,植物人状态的
quickest	adj. 最快的
overgrow	v. 长满
enlargement	n. 放大
downhill	adv. 下坡；向下
idiomatic	adj. 地道的 成语的
chromosphere	n. 色球
nonproductive	adj. 非生产性的
caliber	n. 口径, 才干
photosphere	n. 光球
millet	n. [植]稷, 粟
intimacy	n. 亲密, 隐私
coalescence	n. 合并, 接合
tantamount	adj. 同等的,相当于
zero	num. 零点, 零度
preen	v. 整理羽毛，(人)打扮修饰
marvelously	adv. 奇迹般地,奇异地
cavalry	n. 骑兵
unacceptable	adj. 不能接受的, 不受欢迎的
unprofitable	adj. 没有利润的, 无益的
fray	n. 吵架 v. 磨破，恼火
reradiate	vt. 再辐射(转播)
tinge	n. (清淡的)色调 vt给…着色
fanners	n. 电风扇,通风机
attractiveness	n. 魅力,  吸引力
unparalleled	adj. 无比的, 空前的
dyestuff	n. 染料
disadvantageous	adj. 不利的
southerner	n. 南方人, 居住在南方的人
drab	adj. 土褐色的, 单调的
resourcefulness	n. 足智多谋
micronesian	n&a. 密克罗尼西亚人(的)
outrigger	n. (承力外伸)支架
ere	pron&conj. 在…之前
usable	adj. [亦作useable] 可用的, 合用的
anew	adv. 重新, 再
ironically	adv. 具有讽刺意味地；嘲讽地
visually	adv. 在视觉上地, 真实地
primacy	n. 首位
sago	n. 西米, 西米椰子
breadfruit	n. 面包果树
taro	n. 芋头
sugarcane	n. [植]甘蔗
predetermine	v. 预先确定
nobody	pron. 无人, 没有任何人
unsuspected	adj. 未知的, 未被怀疑的
nitrate	n. [化]硝酸盐, 硝酸钾
exportation	n. 出口
extremity	n. 极度，绝境
converse	v. 交谈 n反面说法 a相反的
grounding	n. 基础训练, 染色的底色, [电]接地
spillage	n. 溢出, 溢出量
curiously	adv. 好奇地
redesign	v&n. 重新设计
citizenry	n. 公民成市民(集合称)
wad	n. 填料 vt填塞
smelter	n. 熔炉, 熔炼工
diamond	n. 钻石,金钢石
crook	v. 使弯曲
pennycress	n. [植]菥蓂
hydroponically	n. 水耕法,  水栽培
petiole	n. 叶柄, 柄部
conveniently	adv. 方便地；合宜地
paramount	adj. 极为重要的
Shoshone	n. 美国休休尼族印第安人;休休尼语
oxfordshire	n. 牛津郡[英国]
Isle	n. ( 小)岛
gaslit	adj. 以煤气灯照明的
londoner	n. 伦敦人
microbe	n. 微生物, 细菌
tepee	n. 美国印第安人的圆锥形帐篷
Pawnee	n. 波尼族人(语)
experimenter	n. 实验者
inter	v. 埋葬
handsomely	adv. 漂亮地,慷慨地
outcrop	n. 露出地面的岩层
parish	n. 教区
nucleic	adj. 核的
avid	adj. 渴望的
totality	n. 全部，总数
emigration	n. 移民出境, 侨居
patriarch	n. 家长, 族长, 创办人
grandeur	n. 庄严, 伟大
detritus	n. 碎石
lipid	n. 脂质, 油脂
smoky	adj. 冒烟的, 烟状的
primeval	adj. 原始的, 早期的
viral	adj. 滤过性毒菌的
subtraction	n. 减少
concentric	adj. 同中心的, 同轴的
iconography	n. 肖像学, 肖像画法
mite	n. 微小的东西,
innate	adj. 先天的, 天生的
indigenous	adj. 本地的, 天生的
toehold	n. （攀岩时的）立足点,（发展的）起点
eon	n. 永世, 无数的年代
cuspidor	n. 痰盂
activist	n. 激进主义分子, 行动主义分子
hue	n. 色彩，色调
weakly	a&ad. 虚弱地, 软弱地
doorknob	n. 门把手
incessant	adj. 不断的,  无尽的
tieback	n. 牵索,  拉条
afloat	a&ad. 飘浮的, 传播的
mistrust	n&v. 不信任, 猜疑
interviewer	n. 会见者
affectional	adj. 情感上的,  爱情的
southerly	adj. 向南方的 ad在南方
covering	n. 遮盖物
shopper	n. 购物者
correspondingly	adv. 相应地
varicolored	adj. 杂色的,  多色的
psychoanalyst	n. 心理分析学者
stagecraft	n. 编剧才能,演出技术
lifeblood	n. 生命必须的血液, 活力的源泉
autobiography	n. 自传
bedpan	n. 便盆, 睡床用脚炉
duet	n. 二重奏
sentimentalized	v. 流于感伤,  变多愁善感
rentable	adj. 可出租的
voluminous	adj. 卷数多的,大量的
stint	v. 紧缩,节省
wand	n. 魔杖；[乐]指挥棒
cud	n. 反刍的食物
inhibition	n. 禁止, 阻止
chomp	v. 大声地咀嚼, 反复咀嚼
civic	adj. 市的, 市民的
inconsistency	n. 矛盾
perceivable	adj. 可知觉的
posit	v. 安置
incompletely	adv. 不完全地
subjugate	v. 使屈服，征服
lamina	n. 薄板, 薄层
uniformitarianism	n. [地质]均变论
disappoint	v. 使失望
contributory	adj. 贡献的, 捐助的
ration	n. 定额, 定量
exponent	n. 阐述者,倡导者
intellectually	adv. 理智地, 与智力(或思维)有关地
concoct	v. 编造；调制
darling	n. 心爱的人, 亲爱的
leaning	n. 倾斜, 倾向
seclusion	n. 隔离
vulnerability	n. 弱点, 攻击
candid	adj. 率直的, 坦诚的
puritan	n. 清教徒 a清教徒的
regurgitate	v. 反刍,（液体）回流
ruminate	v. 反刍, 沉思
milkweed	n. 乳草属植物
divergent	adj. 分歧的,分开的, 偏离的
unproven	adj. 未经证明的, 未经检验的
permafrost	n. [地]永久冻结带
stocky	adj. 矮壮的, 健壮结实的
convergence	n. 集中, 收敛
conceivably	adv. 可想到地, 想象中
Venice	n. 威尼斯(意大利港市)
tiffany	n. 纱的一种
uproot	v. 连根拔起, 根除
unnatural	adj. 不自然的, 反常的
powerfully	adv. 非常地,强有力地
nursing	n. 看护, 养育
enamel	n. 珐琅, 瓷釉
gossamer	n. 蛛丝，薄纱  a轻而薄的
unnecessarily	adv. 不必要地,  徒然
monogamous	n. 一夫一妻的, 单配的
unwieldy	adj. 笨重的，笨拙的
coloration	n. 染色, 着色
butler	n. 仆役长, 男管家
Caribbean	n. 加勒比海
anatomy	n. 剖析, 解剖学
flop	v. 猛落，惨败
genuinely	adv. 真正地,  由衷地
flint	n. 打火石, 燧石
vicissitude	n. 变迁兴衰
suitably	adv. 合适地, 适宜地
colorless	adj. 无色的, 无趣味的
cider	n. 苹果酒
bard	n. 吟游诗人
presage	n. 预兆 v预示
flatboat	n. (浅水)平底船
peal	n. 钟声  v(使)鸣响
mow	v. 割(草)
professionalism	n. 职业水准或特性, 职业化
monochrome	n. 单色 单色的
incessantly	adv. 不间断地
damper	n. 风阀, 减音器
lightweight	n. 轻量级选手, 不能胜任者
polychrome	adj. 彩饰的 n多彩艺术品
coriander	n. [植]胡荽
tedium	n. 厌烦, 沉闷
foothill	n. 山麓小丘, 丘陵地带
momentous	adj. 重要的, 重大的
chateau	n. 城堡
provincialism	n. 地方风尚
husk	n. 外壳；v剥壳,削皮
seashell	n. 海贝壳
emigrant	n. 移居外国者, 移民
quitter	n. 轻易停止的人, 懦夫
unsettle	v. 不安
unending	adj. 不断的, 不断重复的
eradication	n. 连根拔除, 根除
upriver	adj. 上游的 ad在上游
reorient	v. 重定的方向(或方位)
portend	v. 预示
neatness	n. 整洁, 干净
nonnative	n. 非本地的,  非本地人
chug	n. 轧轧响声 v. 发出轧轧声
intercommunity	n. 共同性, 共有
townspeople	n. 市民, 镇民
Utopian	adj. 乌托邦式的，梦想的
biogeochemical	adj. 生物地球化学的
loder	n. [计]装填器
homespun	n. 手织物
unwelcome	adj. 不受欢迎的, 讨厌的
avoidable	adj. 可避免的
predetermined	adj. 预订的
unselective	adj. 非选择性的
sensitively	adv. 易感知地,  神经过敏地
authenticity	n. 确实性, 真实性
discredit	v. 怀疑  n丧失名誉
superorganisms	n. [生]超个体(指群居昆虫等的群体)
exclusion	n. 排除, 除外
floodplain	n. 泛洪平原, 漫滩
preservative	n. 防腐剂
sill	n. 基石(岩床底面)
insightful	adj. 有深刻见解的, 富有洞察力的
misdeed	n. 罪行, 犯罪
salmonberry	n. 美洲大树莓
optimization	n. 最佳化, 最优化
snugly	adv. 舒适温暖地, 整洁地
dripstone	n. 滴水石
counterexample	n. 反例
dapple	n. 斑纹, 斑点 v. (使）有斑纹
multifaceted	adj. 多层面的
alluvial	adj. 冲积的, 淤积的
welt	n. 鞭痕, 贴边vt贴边于
rootless	adj. 无根的, 无根据的
fecund	adj. 生殖力旺盛的, 多产的
proliferation	n. 增殖, 分芽繁殖
loam	n. 肥土
petticoat	n. 衬裙, 裙子
stratify	v. (使)成层
basketwork	n. 编织物
commercialization	n. 商品化
acidity	n. 酸度, 酸性, [医]酸过多, 胃酸过多
intently	adv. 专心地, 集中地
separable	adj. 可分离的, 可分的
thimble	n. 顶针；嵌环
cyclic	adj. 循环的,周期性的
buyer	n. 买主, 顾客
lop	v. 剪去, 砍掉
harmfully	adv. 伤害地,有害地
boxlike	adj. 象箱子一样的
amazingly	adv. 惊奇地, 惊人地
pinhole	n. 针孔, 小孔
admittedly	adv. 不可否认的, 公认地
maternal	adj. 母亲的, 母系的
wintertime	n. 冬, 冬季
pliable	adj. 柔顺的
anthropologically	adv. 人类学上
cobble	n. 圆石,鹅卵石 v. 修补
literate	adj. 有读写能力的；有文化修养的
totemism	n. 对图腾的信仰, 图腾制度
enigmatic	adj. 谜的, 莫明其妙的
allusion	n. 提及, 暗示
proclivity	n. 倾向
awkwardly	adv. 笨拙地, 无技巧地
recount	v. 叙述
escutcheon	n. 有花纹的盾, 锁眼盖, 孔罩
horticulturalist	n. 园艺家
alphabetically	adv. 按字母表顺序地
carelessly	adv. 粗心地；疏忽地
supermodel	n. 超级名模
brusquely	adv. 唐突地, 粗率地
stubble	n. 短须, 麦茬
solely	adv. 独自地, 单独地
flout	vt&n. 轻视, 嘲笑
chihuahua	n. 吉娃娃(一种产于墨西哥的狗)
morphological	adj. 形态学的
reactive	adj. 反应的, 反作用的
Philippine	adj. 菲律宾的, 菲律宾人的
geothermally	adj. 地热的
inflow	n. 流入, 流入物
subfreezing	adj. 低于冰点的
anthropomorphism	n. 拟人论,拟人观
confinement	n. 限制, 禁闭
centrally	adv. 在中心, 在中央
incapacitated	vt. 使不能
onslaught	n. 冲击
industrialist	n. 工业家, 实业家,
soloist	n. 独奏者, 独唱者
interstitial	adj. 空隙的, 裂缝的,
intertidal	n&a. 潮间带(的)
sickness	n. 疾病, 呕吐
pony	n. 矮种马，小马
morale	n. 士气, 民心
buddy	n. <美口>密友, 伙伴
pristine	adj. 质朴的
sludge	n. 软泥, 淤泥
Swiss	n. / a瑞士(的), 瑞士人(的)
hallmark	n. 特点
beau	n. 花花公子
vibrato	n. 颤音, 振动
sparrow	n. [鸟]麻雀
blackbird	n. 山鸟类
rhythmic	adj. 节奏的, 合拍的
waling	n. 横撑
lacuna	n. 空白, 空隙
enigma	n. 谜, 难以理解的事物
tendon	n. [解]腱
fiddler	n. 拉提琴的人,游手好闲的人
carnival	n. 狂欢节, 饮宴狂欢
assemblage	n. 集合, 集会
dedication	n. 贡献, 奉献
qualitatively	adv. 质量上
redwing	n. [动](欧洲产的)红翼鸫
vigilance	n. 警戒, 警惕
adventurous	adj. 冒险的；惊险的
telltale	adj. 泄密的
ordinance	n. 法令，条例
tether	n. 范围
syrup	n. 糖浆, 果汁
gild	v. 镀金
ductile	adj. 易延展的, 易教导的
sewerage	n. 排水设备, 污水
dissolution	n. 分解, 解散
urbanity	n. 有礼貌, 文雅
avoidance	n. 避免
permineralization	n. 完全矿化
amenable	adj. 顺从的；对…负有责任(义务)的
binge	n. 狂闹, 狂欢
quicksand	n. 流沙, 敏捷
malleable	adj. 有延展性的, 可锻的
einkorn	n. 单粒小麦
unanticipated	adj. 不曾预料到的
pistachio	n. [植]阿月浑子树
dredge	n. 挖泥机 v挖掘,
propriety	n. 适当
glassware	n. 玻璃器具类
singleton	n. 一个, 独身
nationalistic	adj. 国家主义的
deteriorates	v. 恶化，变坏
stabilization	n. 稳定性
joinery	n. 木工职业
mechanically	adv. 机械地；无意识地
windswept	adj. 风刮的, 被风吹扫的
swiftness	n. 迅速，敏捷
radioactivity	n. 放射能
seabird	n. 海鸟(如海鸥)
Reykjavik	n. 雷克雅末(冰岛首都)
polarize	v. (使)偏振, (使)极化
degas	v. 除去瓦斯
midnight	n. 午夜
Utah	n. 犹他州(略作Ut,UT)
trickle	v. 滴流
admiral	n. 海军上将, 舰队司令
slat	n. 板条v打击
hydrosphere	n. 水圈, 水气
geyser	n. 天然热喷泉
stabilizer	n. 稳定器, 安定装置
exoskeleton	n. [动] 外骨骼
dimply	adj. 有酒窝的, 有凹处的
clamor	n. 喧闹
enjoyable	adj. 有趣的, 愉快的
reluctantly	adj. 不情愿地；勉强地
overbalance	v. 失去平衡
carbonization	n. 碳化(物)
marshland	n. 沼泽地
viscera	n. 内脏,内部的东西
lethal	adj. 致命的 n致死因子
superbly	adv. 雄伟地, 壮丽地
shipwright	n. 造船者
ghostly	adj. 可怕的
conservatism	n. 保守主义
leaky	adj. 漏的
blacken	v. 使变黑, 诽谤
fiercely	adv. 猛烈地, 厉害地
fox	n. 狐狸 v奸狡地行动
faultfinding	n. 找茬,挑剔
steadfastly	adv. 踏实地, 不变地
untold	adj. 未说过的,未透露的
venue	n. 审判地, 集合地
encapsulate	v. 装入胶囊，压缩
evanescent	adj. 迅速消失的, 短暂的
archipelago	n. 群岛, 多岛海
usefully	adv. 有用地
multivolume	adj. 多卷的
supportive	adj. 支持的
anathema	n. 诅咒
patty	n. 小馅饼,
workmanship	n. 手艺, 技艺
untraditional	adj. 非传统的,不符合传统的
modernist	n. 现代主义者, 现代人
bergere	n. 围手椅
mainstream	n. 主流
photojournalism	n. 摄影新闻工作
regionalist	n. 地方主义者, 地方主义作家
reportedly	adv. 据传说, 据传闻
reachable	adj. 可达成的, 可获得的
stratosphere	n. 平流层, 高层次
Americana	n. 有关美国的文物, 史料
desirability	n. 愿望, 希求
inflexibly	adv. 不弯曲地, 不屈地
implausible	adj. 难信的, 似乎不合情理的
convincingly	adv. 令人信服地, 有说服力地
unwillingness	n. 不愿意, 不情愿
generically	adv. 属类地, 属类上
stronghold	n. 要塞, 据点
drench	v. 湿透
industrially	adv. 企业[工业]地
restatement	n. 再声明, 重述
constituency	n. (选区的)选民,  支持者
eclectic	adj. 折衷的 n. 折衷主义者
preparedness	n. 有准备, 已准备
eyeball	n. 眼球, 眼珠子
persuasive	n. 说服者a善说服的
seedy	adj. 多种子的, 结籽的
thoughtfully	adv. 思虑地, 仔细地
plethora	n. 过剩,过量
openly	adv. 不隐瞒地, 公然地
conditioner	n. 调节者, 调节装置
dung	n. 粪 vt施粪肥于
substantive	adj. 独立存在的，直接的
replenishment	n. 补给, 补充
fanner	n. 通风机
globally	adv. 世界上, 全世界
invigorate	v. 鼓舞
civet	n. [动物]麝猫
setup	n. 装备, 安装,计划
untrue	adj. 不真实的, 不正确的
rephrase	v. 改述
overproduction	n. 生产过剩
moat	n. 护城河, 城壕
replica	n. 复制品
aridity	n. 干旱, 乏味
purge	v. 清洗(除) n清洗
therapist	n. 临床医学家
attacker	n. 攻击者
regrettable	adj. 可惜的, 遗憾的
schist	n. [地]片岩
Thai	n. 泰国人, 泰国语
rime	n. 结晶, v使蒙霜
loyally	adv. 忠诚
artiste	n. 技艺家
symbolically	adv. 象征(性)地
misinterprete	v. 误解
controllable	adj. 可管理的, 可控制的
categorically	adv. 断然地, 明确地
outwit	v. 瞒骗, 以智取胜
intelligently	adv. 聪明地；理智地
problematic	adj. 问题的, 有疑问的
restlessness	n. 辗转不安, 烦躁不安
uncarved	adj. 没雕刻的
macaque	n. 短尾猿
villager	n. 村民
fallacy	n. 谬误, 谬论
vitascope	n. 老式放映机
unfocused	adj. 未聚焦的,无焦点的
anyplace	adv. 任何地方
stealthy	adj. 鬼鬼祟祟的, 秘密的
beng	n. 大麻
douse	v. 熄灭；浸，洒
silvery	adj. 含银的,银色光泽的
healer	n. 医治者, 治病术士
diviner	n. 占卜者, 占卦的人
panhandle	n. 狭长地带 v乞讨
belter	n. 非常好, 出色的例子
foe	n. 敌人,危害物
terylene	n. 涤纶
humorously	adv. 幽默地, 滑稽地
crease	n. 折缝，皱褶 v(使)起皱
rayon	n. 人造丝, 人造纤维
indigo	n. 靛, 靛青
woad	n. [植]菘蓝
needlelike	adj. 针状的
mote	n. 尘埃, 微粒
salal	n. [植](产于北美洲太平洋沿岸的)沙龙白珠树
abnormality	n. 变态 畸形
hugely	adv. 巨大地, 非常地
acetate	n. [化]醋酸盐
micronutrient	n. [生]微量营养素
turmeric	n. [植]姜黄, 姜黄根, 姜黄根粉末
saffron	n. [植]藏红花
overprint	vt& n. 套印, 印戳
religiously	adv. 虔诚地, 笃信地
storyteller	n. 说故事的人, 作家
ritualize	v. 使仪式化, 奉行仪式主义
teller	n. 讲话的人, 告诉的人
abruptness	n. 唐突,粗鲁
pantomimic	adj. 哑剧的
slider	n. 滑雪者, 滑冰者
subglacial	adj. 冰川下的
rhythmically	adv. 有节奏地
cleverness	n. 聪明, 机灵
bombardment	n. 炮击, 轰击
lounger	n. 漫步的人, 懒人
northward	adv. 向北 adj. 向北的
dugout	n. 防空洞, 独木舟
moccasin	n. 鹿皮鞋, 软拖鞋
interruption	n. 中断, 打断
chronologically	adj. 按年代的
episodic	adj. 插曲式的,短暂的
fiord	n. (尤指挪威的)海湾, 峡湾
colosseum	n. 罗马圆形大剧场(建于公元80年,耗时5年,至今大部分尚存)
achievable	adj. 做得成的, 可完成的
fixation	n. 固定, 注视
uncooperative	adj. 不合作的, 不配合的
hub	n. 中心,轮轴
meteoroid	n. 流星体
threadlike	adj. 线状的
pulp	n. 酱；果肉；纸浆
sod	n. 草地
clench	v. 捏紧；紧紧握住
supplementation	n. 增补,补充
disrepute	n. 坏名声
herein	adv. 在此处, 此中
sugarlike	adj. 类糖的(糖似的)
survivability	n. 残存性
theological	adj. 神学(上)的
dorsal	adj. 背的, 脊的
irritability	n. 过敏性, 兴奋性
neurilemmal	adj. 神经膜的, 神经鞘的
neuroglia	n. [解]神经胶(质)
concurrent	adj. 一致的；同时的
stratification	n. 分层, 成层法
microcosm	n. 微观世界
unsureness	n. 不确定, 缺乏自信
belie	v. 掩饰
hesitant	adj. 迟疑的, 犹豫不定的
sewer	n. 排水沟，下水道
anytime	adv. 任何时候, 无论何时
undernutrition	n. 营养不良
hohokam	adj. 霍霍坎文化的
irresponsible	adj. 不负责任的, 不可靠的
flatfish	n. 比目鱼
attic	n. 阁楼
sundial	n. 日昝仪, 日规
butte	n. 孤立的丘
lightly	adv. 轻轻地, 轻松地
uneducated	adj. 没受教育的；文盲的
securely	adv. 安全地；无疑地
uncorrupt	adv. 不腐败的;廉洁的
landscapist	n. 风景画家
complimentary	adj. 称赞的；免费的
incorporation	n. 合并；组建公司
sobriquet	n. 假名, 绰号
socialize	v. 使社会化, 使社会主义化
rename	v. 重新命名, 改名
awaken	v. 唤醒, 醒来
governance	n. 统治, 管理
methodically	adv. 有条不紊地, 有方法地
feverishly	adv. 兴奋地, 发热地
antifungal	adj. 抗真菌的, 杀真菌的
flashy	adj. 浮华的
dimly	adv. 微暗, 朦胧
earthward	adv. 向地球, 向地面
overwhelmingly	adv. 压倒性地, 不可抵抗地
stressful	adj. 紧张的, 压力重的
deformity	n. 残缺, 畸形
disruptive	adj. 使破裂的, 分裂性的
girder	n. 梁
bustle	v. 匆匆忙忙
unforeseen	adj. 无法预料的
conversational	adj. 会话的, 对话的
abbreviate	v. 缩写, 简化
broadcaster	n. 播送设备, 广播员
adviser	n. 顾问,
clarification	n. 澄清, 净化
speechwriter	n. 演讲稿撰写人
televisual	adj. 电视的
legislative	adj. 立法的, 立法机关的
melodic	adj. 有旋律的,调子美妙的
predictably	adv. 可预言地, 不出所料地
climatically	adv. 气候上, 风土上
lethargic	adj. 昏睡的
pathology	n. 病理学
helper	n. 帮忙者, 助手
curvature	n. 弯曲, 曲率
endpoint	n. 端点
datebase	n. 数据库, 资料库
shyness	n. 羞怯, 胆怯
lethargy	n. 无生气
disorientation	n. 迷失方向, 迷惑
additionally	adv. 另外, 同时
uninterrupted	adj. 不停的, 连续的
bureaucratization	n. 官化
dissension	n. 意见不同, 纠纷
embryonic	adj. 胚胎的，萌芽期的
breakup	n. 破裂, 崩溃
bylaw	n. 附则, 法规
republish	v. 再版, 重新发表
publicly	adv. 公然地, 舆论上
distantly	adj. 疏远的, 遥远的
oily	adj. 油的, 油滑的
categorize	v. 加以类别, 分类
definitively	adv. 决定性地, 最后地
lineage	n. 血统, 世系
flaming	adj. 熊熊燃烧的；热情的
pique	n. 生气, 愤怒
newscast	n. <美>新闻广播
fateful	adj. 重大的；不幸的
antipathy	n. 憎恶, 反感
hurtle	v. 急飞
glisten	v. 闪光
predate	v. 提早日期, 居先
Finnish	adj. 芬兰的
cenote	n. 天然井
empathy	n. 移情作用, 共鸣
hardwood	n. 硬木, 阔叶树
sash	n. 腰带，肩带
foment	v. [医]热敷
pretentious	adj. 自命不凡的，自负的
heredity	n. 遗传, 形质遗传
yean	v. 生产, 生育
dining	n. 吃饭
amenity	n. 宜人, 礼仪
changeover	n. 转换, 大变更
meander	v. 蜿蜒而行
skylight	n. 天窗
palatable	adj. 味美的
contender	n. 竞争者
depreciation	n. 贬值, 减价
unspecified	adj. 未详细说明的
disability	n. 无力, 残疾
helplessness	n. 无能为力
retentive	adj. 有记忆力的
unfailingly	adv. 无穷尽地, 可靠地
needless	adj. 不需要的, 不必要的
bulge	n&v. 膨胀，鼓起
undiscovered	adj. 未被发现的
helplessly	adv. 无能为力地
optometrist	n. 验光师, 视力测定者
merciless	adj. 残忍的；无情的
emancipate	v. 释放, 解放
protagonist	n. 提倡者，支持者
leo	n. [天]狮子座，狮子宫
grimly	adv. 严格地,冷酷地
apportion	v. 分配
earning	n. 所得,收入
bankruptcy	n. 破产
subjugation	n. 镇压, 平息
uncontrollably	adj. 无法管束的, 控制不住的
lazily	adv. 懒洋洋地
consortium	n. 财团, 联合, 合伙
preventive	adj. 预防性的
multidirectional	adj. 多方向的
curio	n. 古董, 古玩
chandler	n. 杂货零售商
speck	n. 斑点
encircle	v. 环绕, 围绕
surmount	v. 克服；置于…顶上
Californian	n. 加利福尼亚州人 a加州的
reaumur	n&a. 列氏温度计(的)
mycology	n. [植]真菌学
glean	v. 拾落穗, 收集
nevus	n. [医]痣
watcher	n. 监票员, 看守人
ostrich	n. 鸵鸟
faintly	adv. 微弱地, 朦胧地
dazzlingly	adv. 灿烂地, 耀眼地
tint	n. 色彩
